[INFO 22:26:14] miguelsolorio.symbols activated
[INFO 22:26:14] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:14] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:14] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:14] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:15] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:15] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:15] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:15] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:15] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:15] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:15] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:15] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:15] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:16] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:16] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:16] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:16] 🤖 symbols.files.associations changed, updating to undefined
